job-id  node-count      cpu-count       dim-x   dim-y   iterations      image   time
2160    1       1       1       1       1       earth-small.png 0.880
2161    2       16      4       4       1       earth-small.png 1.410
2160    1       1       1       1       1       earth-medium.png        2.590
2161    2       16      4       4       1       earth-medium.png        2.940
2160    1       1       1       1       1       earth-large.png 9.280
2161    2       16      4       4       1       earth-large.png 10.030
2160    1       1       1       1       1       earth-xlarge.png        36.910
2161    2       16      4       4       1       earth-xlarge.png        38.260
2161    2       16      4       4       2000    earth-small.png 11.280
2166    1       1       1       1       1       earth-small.png 0.850
2167    2       16      4       4       1       earth-small.png 1.090
2166    1       1       1       1       1       earth-medium.png        2.480
2167    2       16      4       4       1       earth-medium.png        2.940
2166    1       1       1       1       1       earth-large.png 9.290
2167    2       16      4       4       1       earth-large.png 10.030
2166    1       1       1       1       1       earth-xlarge.png        36.890
2167    2       16      4       4       1       earth-xlarge.png        38.240
2167    2       16      4       4       2000    earth-small.png 11.610
2167    2       16      4       4       2000    earth-medium.png        50.970
2166    1       1       1       1       2000    earth-small.png 83.240
2167    2       16      4       4       2000    earth-large.png 195.240
2166    1       1       1       1       2000    earth-medium.png        330.940
2167    2       16      4       4       2000    earth-xlarge.png        788.220
2166    1       1       1       1       2000    earth-large.png 1329.740
2166    1       1       1       1       2000    earth-xlarge.png        6103.540
2166    1       2       2       1       1       earth-small.png 0.870
2166    1       2       2       1       1       earth-medium.png        2.460
2166    1       2       2       1       1       earth-large.png 9.080
2166    1       2       2       1       1       earth-xlarge.png        35.990
2166    1       2       2       1       2000    earth-small.png 53.540
2166    1       2       2       1       2000    earth-medium.png        208.120
2166    1       2       2       1       2000    earth-large.png 837.000
2166    1       2       2       1       2000    earth-xlarge.png        3706.320
2166    1       4       2       2       1       earth-small.png 0.850
2166    1       4       2       2       1       earth-medium.png        2.360
2166    1       4       2       2       1       earth-large.png 8.640
2166    1       4       2       2       1       earth-xlarge.png        34.140
2166    1       4       2       2       2000    earth-small.png 27.850
2166    1       4       2       2       2000    earth-medium.png        107.220
2166    1       4       2       2       2000    earth-large.png 430.490
2166    1       4       2       2       2000    earth-xlarge.png        1907.570
2166    1       8       4       2       1       earth-small.png 0.990
2166    1       8       4       2       1       earth-medium.png        2.420
2166    1       8       4       2       1       earth-large.png 8.600
2166    1       8       4       2       1       earth-xlarge.png        33.610
2166    1       8       4       2       2000    earth-small.png 24.100
2166    1       8       4       2       2000    earth-medium.png        93.720
2166    1       8       4       2       2000    earth-large.png 370.610
2166    1       8       4       2       2000    earth-xlarge.png        1513.440
2168    4       32      4       8       1       earth-small.png 1.490
2168    4       32      4       8       1       earth-medium.png        7.230
2168    4       32      4       8       1       earth-large.png 15.280
2168    4       32      4       8       1       earth-xlarge.png        48.190
2168    4       32      4       8       2000    earth-small.png 8.630
2168    4       32      4       8       2000    earth-medium.png        34.870
2168    4       32      4       8       2000    earth-large.png 113.100
2168    4       32      4       8       2000    earth-xlarge.png        436.190
2169    8       64      8       8       1       earth-small.png 1.540
2169    8       64      8       8       1       earth-medium.png        3.510
2169    8       64      8       8       1       earth-large.png 11.830
2169    8       64      8       8       1       earth-xlarge.png        44.230
2169    8       64      8       8       2000    earth-small.png 5.290
2169    8       64      8       8       2000    earth-medium.png        15.520
2169    8       64      8       8       2000    earth-large.png 69.380
2169    8       64      8       8       2000    earth-xlarge.png        257.190
2170    12      96      12      8       1       earth-small.png 1.620
2170    12      96      12      8       1       earth-medium.png        3.530
2170    12      96      12      8       1       earth-large.png 12.030
2170    12      96      12      8       1       earth-xlarge.png        44.870
2170    12      96      12      8       2000    earth-small.png 6.180
2170    12      96      12      8       2000    earth-medium.png        11.560
2170    12      96      12      8       2000    earth-large.png 52.010
2170    12      96      12      8       2000    earth-xlarge.png        200.690
2171    12      96      1       96      1       earth-small.png 1.530
2171    12      96      1       96      1       earth-medium.png        3.560
2171    12      96      1       96      1       earth-large.png 11.940
2171    12      96      1       96      1       earth-xlarge.png        44.590
2171    12      96      1       96      2000    earth-small.png 6.010
2171    12      96      1       96      2000    earth-medium.png        12.520
2171    12      96      1       96      2000    earth-large.png 52.690
2171    12      96      1       96      2000    earth-xlarge.png        211.540
2171    12      96      96      1       1       earth-small.png 1.410
2171    12      96      96      1       1       earth-medium.png        3.660
2171    12      96      96      1       1       earth-large.png 12.130
2171    12      96      96      1       1       earth-xlarge.png        45.270
2171    12      96      96      1       2000    earth-small.png 5.890
2171    12      96      96      1       2000    earth-medium.png        11.670
2171    12      96      96      1       2000    earth-large.png 52.500
2171    12      96      96      1       2000    earth-xlarge.png        201.870
